original_commit_type,commit_hash,file_path,classification_label,commit_date,author,is_ai_generated,commit_message
AI,658dd11c9e8bee95ecd27d481a91d3aad87bb733,src/utils/hooks-queue.ts,fix,2025-05-14 16:38:47 +0000,Devin AI,True,fix: Add local implementation of createHooksQueuePlugin to replace payload-hooks-queue dependency
AI,28f71c91055d05faa628514bc7f3c1946cb5e5ce,src/utils/hooks-queue.ts,chore,2025-05-14 16:46:06 +0000,Devin AI,True,fix: Use published packages instead of local implementations
AI,d8d77c6a920a7fbc0a92b4d26b2228d0c5a64ae0,src/utils/hooks-queue.ts,chore,2025-05-14 16:56:04 +0000,Devin AI,True,fix: Revert to local implementations due to package export issues
AI,a9c41585f772675ffe5c1bf03d43520f43237bd0,src/utils/hooks-queue.ts,style,2025-05-21 16:55:14 -0500,Chris Risner,False,chore: prettier fix on repo
AI,f9555bc2332baeff8b26d9d05c981fb42f1ccaf3,src/utils/json-fields.ts,fix,2025-05-14 16:33:21 +0000,Devin AI,True,fix: Add local implementation of json-fields to replace payload-utils dependency
AI,cf2f91eee69af026ae917950587bb88d00627b27,src/utils/json-fields.ts,fix,2025-05-14 16:44:04 +0000,Devin AI,True,fix: Add TypeScript null checks to json-fields.ts
AI,28f71c91055d05faa628514bc7f3c1946cb5e5ce,src/utils/json-fields.ts,chore,2025-05-14 16:46:06 +0000,Devin AI,True,fix: Use published packages instead of local implementations
AI,09a526a9527b6edc22086a77b288f1108ba4e3d6,src/utils/json-fields.ts,fix,2025-05-14 16:50:32 +0000,Devin AI,True,fix: Update json-fields.ts to handle payload-utils export issues
AI,6dbd52afd444c5884334550ff52538fcf5a0a086,src/utils/json-fields.ts,fix,2025-05-14 16:58:17 +0000,Devin AI,True,fix: Define Field type locally to avoid payload/types dependency
AI,38a388c3c2cdb9ffe7824e21a467775500a6330a,src/utils/json-fields.ts,fix,2025-06-10 00:26:45 -0500,Samuel Lippert,False,feat: prompt
AI,f28a9cdab2c162e13be155d05704a59ac71b96c6,src/utils/json-fields.ts,fix,2025-06-10 00:26:45 -0500,Samuel Lippert,False,fix: system prompt render
AI,192d9ce2505b2d81bfbda01ac7e5775aa9235947,src/utils/json-fields.ts,style,2025-06-11 03:35:12 -0500,Samuel Lippert,False,refactor: improve types for select fields
AI,533a4a41711298076c7c3cf91dcbcbee7c8b11c0,src/utils/webhook-filtering.ts,fix,2025-05-14 16:30:52 +0000,Devin AI,True,fix: Add local implementation of filterEvents to replace payload-hooks-queue dependency
AI,28f71c91055d05faa628514bc7f3c1946cb5e5ce,src/utils/webhook-filtering.ts,chore,2025-05-14 16:46:06 +0000,Devin AI,True,fix: Use published packages instead of local implementations
AI,d8d77c6a920a7fbc0a92b4d26b2228d0c5a64ae0,src/utils/webhook-filtering.ts,chore,2025-05-14 16:56:04 +0000,Devin AI,True,fix: Revert to local implementations due to package export issues
AI,a9c41585f772675ffe5c1bf03d43520f43237bd0,src/utils/webhook-filtering.ts,style,2025-05-21 16:55:14 -0500,Chris Risner,False,chore: prettier fix on repo
AI,8e379af9b8f04a3f5628c8e181bc231dbc1f59f7,tests/e2e-playwright/playwright.config.cjs,test,2025-05-14 15:47:49 +0000,Devin AI,True,fix: Update e2e-playwright tests to use Vitest instead of Playwright test runner
AI,8e379af9b8f04a3f5628c8e181bc231dbc1f59f7,tests/e2e-playwright/simple.spec.ts,test,2025-05-14 15:47:49 +0000,Devin AI,True,fix: Update e2e-playwright tests to use Vitest instead of Playwright test runner
AI,8e379af9b8f04a3f5628c8e181bc231dbc1f59f7,vitest.config.js,test,2025-05-14 15:47:49 +0000,Devin AI,True,fix: Update e2e-playwright tests to use Vitest instead of Playwright test runner
AI,a9c41585f772675ffe5c1bf03d43520f43237bd0,vitest.config.js,style,2025-05-21 16:55:14 -0500,Chris Risner,False,chore: prettier fix on repo
AI,254a8f747580eeb908b02b4a559aa11226f1370a,tests/sdk/assets/images/test-image.jpg,test,2025-05-08 10:37:16 +0000,Devin AI,True,test: add OpenRouter feature tests for llm.do service
Human,a31ef6350dcf95c3a72df444e6108283fc830287,declarations.d.ts,fix,2025-05-24 03:07:43 -0500,Samuel Lippert,False,feat: add tasks to stripe workflow
Human,3ac84457faa7d97acb8a87dd4f920b2ed42dad3e,declarations.d.ts,build,2025-05-24 03:07:43 -0500,Samuel Lippert,False,build: run build
Human,7a5c881ebbe8cd9430608e907dffbc2b0181b03b,declarations.d.ts,chore,2025-05-30 20:28:40 -0500,Chris Risner,False,chore: udpate ai-sdk/react useChat and types
Human,93a6cff011346a31f2dfd2f308ffd89185a3ea0a,tasks/integrations/handleStripeEvent.ts,chore,2025-05-24 03:07:43 -0500,Samuel Lippert,False,feat: add stripe workflow
Human,a31ef6350dcf95c3a72df444e6108283fc830287,tasks/integrations/handleStripeEvent.ts,fix,2025-05-24 03:07:43 -0500,Samuel Lippert,False,feat: add tasks to stripe workflow
Human,9ef63614326d0a24641155e656ccd73acaa692e9,tasks/integrations/handleStripeEvent.ts,feat,2025-05-24 03:07:43 -0500,Samuel Lippert,False,feat: notify on key create
Human,de665d8b415b273ef8dfe31a5a30b82b8df42444,tasks/integrations/handleStripeEvent.ts,fix,2025-05-24 23:37:30 -0500,Samuel Lippert,False,fix: workflow
Human,eec0b6d492076f341c26ffc42718d3687060f6f6,tasks/integrations/handleStripeEvent.ts,fix,2025-05-28 21:05:07 -0500,Samuel Lippert,False,feat: usage logging
Human,42a597b82992ce503a39fb522109973f0d3bc363,tasks/integrations/handleStripeEvent.ts,fix,2025-05-28 21:05:07 -0500,sam-lippert,False,Update tasks/integrations/handleStripeEvent.ts
Human,cf6c7b12cb701fd2bf60f456e2d4f250f81cd4b1,tasks/integrations/handleStripeEvent.ts,fix,2025-05-28 21:05:07 -0500,Samuel Lippert,False,feat: associate customer events
Human,519296fe40265f178ee8358ad5728c5c42c5e216,tasks/integrations/handleStripeEvent.ts,feat,2025-06-02 11:46:38 -0500,Samuel Lippert,False,feat: add createRecord and recordEvent tasks to handle LLM usage and data storage
Human,89e0386d2c197ac6af40e035afd377d289831c02,app/(sites)/sites/gpt.do/components/sidebar-credit-display.tsx,fix,2025-05-22 11:17:10 -0500,Chris Risner,False,"feat(credit): update credit balance show balance and also can click to add credits, added above sidebar-user-nav in app-sidebar"
Human,80a6a32a2b88dcf6e0a02bd7a81a8267af448da0,sdks/llm.do/src/constants.ts,style,2025-05-22 09:10:20 -0500,Chris Risner,False,chore: cleaned up llm.do types
Human,1d635674a16dfd7744eebcfa6d05f62a75a0040d,sdks/llm.do/src/constants.ts,docs,2025-05-22 09:22:47 -0500,Chris Risner,False,chore: update with JSDocs for llm.do
Human,80a6a32a2b88dcf6e0a02bd7a81a8267af448da0,sdks/llm.do/src/types/api/base.ts,style,2025-05-22 09:10:20 -0500,Chris Risner,False,chore: cleaned up llm.do types
Human,1d635674a16dfd7744eebcfa6d05f62a75a0040d,sdks/llm.do/src/types/api/base.ts,docs,2025-05-22 09:22:47 -0500,Chris Risner,False,chore: update with JSDocs for llm.do
Human,80a6a32a2b88dcf6e0a02bd7a81a8267af448da0,sdks/llm.do/src/types/api/index.ts,style,2025-05-22 09:10:20 -0500,Chris Risner,False,chore: cleaned up llm.do types
Human,7bf83c8f4ebdb08d8087b22f6af889f495bf0d97,sdks/llm.do/src/types/api/index.ts,chore,2025-06-01 11:47:52 +0000,AggressivelyMeows,False,chore: add pretty-ms dependency and enhance chat message performance metrics
Human,80a6a32a2b88dcf6e0a02bd7a81a8267af448da0,sdks/llm.do/src/types/api/requests.ts,style,2025-05-22 09:10:20 -0500,Chris Risner,False,chore: cleaned up llm.do types
Human,1d635674a16dfd7744eebcfa6d05f62a75a0040d,sdks/llm.do/src/types/api/requests.ts,docs,2025-05-22 09:22:47 -0500,Chris Risner,False,chore: update with JSDocs for llm.do
